,Zipcode,Score,City,County,Lat,Long,State,id,CountyScore
637,77506,1,Pasadena,Harris County,29.71,-95.21,Texas,48201,271
638,78224,1,San Antonio,Bexar County,29.31,-98.54,Texas,48029,113
640,75601,1,Longview,Gregg County,32.5,-94.71,Texas,48183,15
641,75462,1,Paris,Lamar County,33.6,-95.5,Texas,48277,8
643,75561,1,Hooks,Bowie County,33.51,-94.28,Texas,48037,18
644,79603,1,Abilene,Taylor County,32.4,-99.9,Texas,48441,16
649,76801,1,Brownwood,Brown County,31.7,-99.0,Texas,48049,9
651,79423,1,Lubbock,Lubbock County,33.4,-101.9,Texas,48303,26
652,75217,1,Dallas,Dallas County,32.7,-96.68,Texas,48113,165
655,78753,1,Austin,Travis County,30.38,-97.67,Texas,48453,52
656,76577,1,Thorndale,Milam County,30.6,-97.2,Texas,48331,27
659,75948,1,Hemphill,Sabine County,31.3,-93.8,Texas,48403,1
660,77903,1,Victoria,Victoria County,,,Texas,48469,12
663,75758,1,Chandler,Henderson County,32.3,-95.5,Texas,48213,21
664,78355,1,Falfurrias,Brooks County,27.2,-98.2,Texas,48047,2
666,79603,1,Abilene,Taylor County,32.4,-99.9,Texas,48441,16
668,76634,1,Clifton,Bosque County,31.8,-97.6,Texas,48035,3
672,77055,1,Houston,Harris County,29.8,-95.5,Texas,48201,271
673,77478,1,Sugar Land,Fort Bend County,29.62,-95.61,Texas,48157,19
674,75126,1,Forney,Kaufman County,32.7,-96.4,Texas,48257,7
676,76137,1,Fort Worth,Tarrant County,32.85,-97.29,Texas,48439,147
678,77536,1,Deer Park,Harris County,29.71,-95.12,Texas,48201,271
682,77420,1,Boling,Wharton County,29.2,-95.9,Texas,48481,5
683,79109,1,Amarillo,Randall County,35.16,-101.88,Texas,48381,10
684,78660,1,Pflugerville,Travis County,30.43,-97.6,Texas,48453,52
686,78639,1,Kingsland,Llano County,30.68,-98.45,Texas,48299,6
692,75150,1,Mesquite,Dallas County,32.82,-96.63,Texas,48113,165
693,77414,1,Bay City,Matagorda County,28.9,-95.9,Texas,48321,4
695,77327,1,Cleveland,Liberty County,30.3,-94.9,Texas,48291,4
696,76058,1,Joshua,Johnson County,32.48,-97.41,Texas,48251,15
698,75561,1,Hooks,Bowie County,33.51,-94.28,Texas,48037,18
705,77571,1,La Porte,Harris County,29.69,-95.04,Texas,48201,271
709,78602,1,Bastrop,Bastrop County,30.1,-97.3,Texas,48021,5
710,76240,1,Gainesville,Cooke County,33.7,-97.2,Texas,48097,2
712,77375,1,Tomball,Harris County,30.09,-95.59,Texas,48201,271
715,78061,1,Pearsall,Frio County,28.9,-99.1,Texas,48163,2
717,75482,1,Sulphur Springs,Hopkins County,33.2,-95.6,Texas,48223,2
720,78240,1,San Antonio,Bexar County,29.52,-98.61,Texas,48029,113
726,75166,1,Lavon,Collin County,33.02,-96.45,Texas,48085,28
730,78230,1,San Antonio,Bexar County,29.54,-98.56,Texas,48029,113
733,77373,1,Spring,Harris County,30.07,-95.37,Texas,48201,271
734,78957,1,Smithville,Bastrop County,30.0,-97.2,Texas,48021,5
736,75110,1,Corsicana,Navarro County,32.1,-96.5,Texas,48349,8
738,78641,1,Leander,Williamson County,30.5,-97.9,Texas,48491,24
741,75645,1,Gilmer,Upshur County,32.7,-94.9,Texas,48459,3
744,77379,1,Spring,Harris County,30.04,-95.53,Texas,48201,271
745,75551,1,Atlanta,Cass County,33.1,-94.2,Texas,48067,4
746,78641,1,Leander,Williamson County,30.5,-97.9,Texas,48491,24
750,76209,1,Denton,Denton County,33.23,-97.11,Texas,48121,53
752,76109,1,Fort Worth,Tarrant County,32.7,-97.39,Texas,48439,147
755,75142,1,Kaufman,Kaufman County,32.6,-96.3,Texas,48257,7
757,78410,3,Corpus Christi,Nueces County,27.84,-97.6,Texas,48355,62
758,75013,1,Allen,Collin County,33.12,-96.69,Texas,48085,28
761,79602,1,Abilene,Taylor County,32.3,-99.7,Texas,48441,16
762,78621,1,Elgin,Bastrop County,30.3,-97.4,Texas,48021,5
763,78416,1,Corpus Christi,Nueces County,27.75,-97.44,Texas,48355,62
766,75211,1,Dallas,Dallas County,32.74,-96.92,Texas,48113,165
767,76401,1,Stephenville,Erath County,32.3,-98.1,Texas,48143,1
770,76088,1,Weatherford,Parker County,32.9,-97.9,Texas,48367,14
771,76209,1,Denton,Denton County,33.23,-97.11,Texas,48121,53
773,77048,1,Houston,Harris County,29.62,-95.33,Texas,48201,271
781,79065,1,Pampa,Gray County,35.6,-100.8,Texas,48179,7
783,75062,1,Irving,Dallas County,32.85,-96.96,Texas,48113,165
784,79065,1,Pampa,Gray County,35.6,-100.8,Texas,48179,7
786,79415,1,Lubbock,Lubbock County,33.7,-101.9,Texas,48303,26
787,77563,1,Hitchcock,Galveston County,29.3,-95.0,Texas,48167,29
792,77568,1,La Marque,Galveston County,29.4,-95.0,Texas,48167,29
793,75146,1,Lancaster,Dallas County,32.57,-96.74,Texas,48113,165
795,78414,1,Corpus Christi,Nueces County,27.63,-97.37,Texas,48355,62
797,78154,1,Schertz,Guadalupe County,29.56,-98.27,Texas,48187,12
799,76140,1,Fort Worth,Tarrant County,32.62,-97.27,Texas,48439,147
801,78410,1,Corpus Christi,Nueces County,27.84,-97.6,Texas,48355,62
