ind,Zipcode,Score,City,County,Lat,Long,State,id,CountyScore
5714,30187,3,Winston,Douglas County,33.7,-84.8,Georgia,13097,550.0
5723,30188,1,Woodstock,Cherokee County,34.12,-84.45,Georgia,13057,466.0
5798,30204,2,Barnesville,Lamar County,33.1,-84.1,Georgia,13171,27.0
5814,30206,1,Concord,Pike County,33.1,-84.44,Georgia,13231,34.0
5820,30212,2,Experiment,Spalding County,,,Georgia,13255,262.0
5821,30213,2,Fairburn,Fulton County,33.6,-84.6,Georgia,13121,3344.0
5954,30214,2,Fayetteville,Fayette County,33.49,-84.48,Georgia,13113,130.0
5988,30215,1,Fayetteville,Fayette County,33.4,-84.5,Georgia,13113,130.0
6013,30216,1,Flovilla,Butts County,33.24,-83.87,Georgia,13035,55.0
6017,30217,2,Franklin,Heard County,33.3,-85.1,Georgia,13149,14.0
6026,30218,2,Gay,Meriwether County,33.13,-84.59,Georgia,13199,60.0
6028,30220,1,Grantville,Coweta County,33.23,-84.84,Georgia,13077,198.0
6038,30222,2,Greenville,Meriwether County,33.0,-84.7,Georgia,13199,60.0
6045,30223,2,Griffin,Spalding County,33.3,-84.3,Georgia,13255,262.0
6160,30224,2,Griffin,Spalding County,33.2,-84.2,Georgia,13255,262.0
6205,30228,1,Hampton,Henry County,33.41,-84.3,Georgia,13151,847.0
6349,30230,2,Hogansville,Troup County,33.2,-84.9,Georgia,13285,422.0
6370,30233,2,Jackson,Butts County,33.3,-84.0,Georgia,13035,55.0
6400,30234,2,Jenkinsburg,Butts County,33.32,-84.03,Georgia,13035,55.0
6402,30236,2,Jonesboro,Clayton County,33.53,-84.33,Georgia,13063,1509.0
6595,30238,1,Jonesboro,Clayton County,33.5,-84.38,Georgia,13063,1509.0
6765,30240,1,Lagrange,Troup County,33.0,-85.1,Georgia,13285,422.0
6868,30241,1,Lagrange,Troup County,33.0,-85.0,Georgia,13285,422.0
6967,30248,2,Locust Grove,Henry County,33.3,-84.1,Georgia,13151,847.0
7014,30250,2,Lovejoy,Clayton County,33.41,-84.3,Georgia,13063,1509.0
7015,30251,2,Luthersville,Meriwether County,33.18,-84.7,Georgia,13199,60.0
7019,30252,2,Mcdonough,Henry County,33.5,-84.0,Georgia,13151,847.0
7061,30253,2,Mcdonough,Henry County,33.45,-84.19,Georgia,13151,847.0
7190,30256,1,Meansville,Pike County,33.02,-84.32,Georgia,13231,34.0
7191,30257,1,Milner,Lamar County,33.1,-84.2,Georgia,13171,27.0
7192,30258,2,Molena,Pike County,33.0,-84.4,Georgia,13231,34.0
7197,30259,2,Moreland,Coweta County,33.27,-84.72,Georgia,13077,198.0
7198,30260,2,Morrow,Clayton County,33.58,-84.33,Georgia,13063,1509.0
7289,30263,2,Newnan,Coweta County,33.4,-84.9,Georgia,13077,198.0
7349,30265,2,Newnan,Coweta County,33.42,-84.7,Georgia,13077,198.0
7382,30266,1,Orchard Hill,Spalding County,,,Georgia,13255,262.0
7383,30268,1,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7384,30268,2,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7385,30268,2,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7386,30268,2,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7387,30268,2,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7388,30268,2,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7389,30268,3,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7390,30268,3,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7391,30268,2,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7392,30268,1,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7393,30268,2,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7394,30268,1,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7395,30268,1,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7396,30268,2,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7397,30268,2,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7398,30268,1,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7399,30268,1,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7400,30268,2,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7401,30268,1,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7402,30268,2,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7403,30268,2,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7404,30268,2,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7405,30268,2,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7406,30268,2,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7407,30268,2,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7408,30268,1,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7409,30268,2,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7410,30268,1,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7411,30268,2,Palmetto,Fulton County,33.6,-84.7,Georgia,13121,3344.0
7412,30269,2,Peachtree City,Fayette County,33.39,-84.57,Georgia,13113,130.0
7413,30269,1,Peachtree City,Fayette County,33.39,-84.57,Georgia,13113,130.0
7414,30269,1,Peachtree City,Fayette County,33.39,-84.57,Georgia,13113,130.0
7415,30269,2,Peachtree City,Fayette County,33.39,-84.57,Georgia,13113,130.0
7416,30269,2,Peachtree City,Fayette County,33.39,-84.57,Georgia,13113,130.0
7417,30269,2,Peachtree City,Fayette County,33.39,-84.57,Georgia,13113,130.0
7418,30269,2,Peachtree City,Fayette County,33.39,-84.57,Georgia,13113,130.0
7419,30269,2,Peachtree City,Fayette County,33.39,-84.57,Georgia,13113,130.0
7420,30269,2,Peachtree City,Fayette County,33.39,-84.57,Georgia,13113,130.0
7421,30269,1,Peachtree City,Fayette County,33.39,-84.57,Georgia,13113,130.0
7422,30269,2,Peachtree City,Fayette County,33.39,-84.57,Georgia,13113,130.0
7423,30269,2,Peachtree City,Fayette County,33.39,-84.57,Georgia,13113,130.0
7424,30271,2,Newnan,Coweta County,,,Georgia,13077,198.0
7425,30271,2,Newnan,Coweta County,,,Georgia,13077,198.0
7426,30272,1,Red Oak,Fulton County,,,Georgia,13121,3344.0
7427,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7428,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7429,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7430,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7431,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7432,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7433,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7434,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7435,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7436,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7437,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7438,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7439,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7440,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7441,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7442,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7443,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7444,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7445,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7446,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7447,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7448,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7449,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7450,30273,3,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7451,30273,3,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7452,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7453,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7454,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7455,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7456,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7457,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7458,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7459,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7460,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7461,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7462,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7463,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7464,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7465,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7466,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7467,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7468,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7469,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7470,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7471,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7472,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7473,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7474,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7475,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7476,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7477,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7478,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7479,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7480,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7481,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7482,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7483,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7484,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7485,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7486,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7487,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7488,30273,2,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
