,Zipcode,Score,City,County,Lat,Long,State,id,CountyScore
13803,30522,1,Cherry Log,Gilmer County,34.8,-84.4,Georgia,13123,147
13807,30523,1,Clarkesville,Habersham County,34.7,-83.5,Georgia,13137,175
13838,30525,2,Clayton,Rabun County,34.9,-83.4,Georgia,13241,94
13871,30527,2,Clermont,Hall County,34.48,-83.77,Georgia,13139,494
13873,30528,2,Cleveland,White County,34.6,-83.8,Georgia,13311,186
13964,30529,3,Commerce,Jackson County,34.2,-83.5,Georgia,13157,192
13995,30530,2,Commerce,Banks County,34.2,-83.4,Georgia,13011,39
14009,30531,3,Cornelia,Habersham County,34.5,-83.6,Georgia,13137,175
14036,30533,1,Dahlonega,Lumpkin County,34.5,-84.0,Georgia,13187,110
14096,30534,3,Dawsonville,Dawson County,34.5,-84.1,Georgia,13085,114
14163,30535,1,Demorest,Habersham County,34.59,-83.57,Georgia,13137,175
14190,30536,2,Ellijay,Gilmer County,34.7,-84.4,Georgia,13123,147
14200,30537,1,Dillard,Rabun County,34.96,-83.35,Georgia,13241,94
14202,30538,2,Eastanollee,Stephens County,34.5,-83.27,Georgia,13257,163
14214,30539,1,East Ellijay,Gilmer County,,,Georgia,13123,147
14216,30540,1,Ellijay,Gilmer County,34.7,-84.5,Georgia,13123,147
14288,30541,2,Epworth,Fannin County,34.9,-84.5,Georgia,13111,68
14289,30542,2,Flowery Branch,Hall County,34.17,-83.91,Georgia,13139,494
14321,30543,1,Gillsville,Hall County,34.29,-83.65,Georgia,13139,494
14322,30546,2,Hiawassee,Towns County,34.9,-83.7,Georgia,13281,16
14326,30547,1,Homer,Banks County,34.37,-83.47,Georgia,13011,39
14330,30548,1,Hoschton,Jackson County,34.1,-83.8,Georgia,13157,192
14339,30549,2,Jefferson,Jackson County,34.1,-83.6,Georgia,13157,192
14351,30552,1,Lakemont,Rabun County,34.8,-83.4,Georgia,13241,94
14355,30553,2,Lavonia,Franklin County,34.4,-83.1,Georgia,13119,79
14364,30554,1,Lula,Hall County,34.4,-83.6,Georgia,13139,494
14378,30555,1,Mc Caysville,Fannin County,34.97,-84.42,Georgia,13111,68
14380,30557,1,Martin,Stephens County,34.5,-83.2,Georgia,13257,163
14391,30558,1,Maysville,Jackson County,34.3,-83.6,Georgia,13157,192
14408,30559,1,Mineral Bluff,Fannin County,34.9,-84.2,Georgia,13111,68
14415,30560,2,Morganton,Fannin County,34.9,-84.2,Georgia,13111,68
14423,30562,3,Mountain City,Rabun County,34.9,-83.4,Georgia,13241,94
14424,30563,1,Mount Airy,Habersham County,34.56,-83.46,Georgia,13137,175
14431,30564,1,Murrayville,Hall County,34.5,-83.9,Georgia,13139,494
14440,30565,1,Nicholson,Jackson County,34.09,-83.41,Georgia,13157,192
14448,30566,1,Oakwood,Hall County,34.24,-83.89,Georgia,13139,494
14469,30567,1,Pendergrass,Jackson County,34.19,-83.68,Georgia,13157,192
14472,30568,3,Rabun Gap,Rabun County,34.95,-83.42,Georgia,13241,94
14476,30571,1,Sautee Nacoochee,White County,34.72,-83.7,Georgia,13311,186
14483,30572,1,Suches,Union County,34.7,-84.1,Georgia,13291,79
14485,30575,2,Talmo,Jackson County,34.2,-83.72,Georgia,13157,192
14489,30576,3,Tiger,Rabun County,34.8,-83.4,Georgia,13241,94
14492,30577,2,Toccoa,Stephens County,34.6,-83.3,Georgia,13257,163
14562,30582,1,Young Harris,Towns County,34.91,-83.9,Georgia,13281,16
14568,30601,3,Athens,Clarke County,34.0,-83.35,Georgia,13059,643
14649,30604,1,Athens,Clarke County,,,Georgia,13059,643
14650,30605,2,Athens,Clarke County,33.9,-83.32,Georgia,13059,643
14763,30606,3,Athens,Clarke County,33.94,-83.44,Georgia,13059,643
14893,30607,2,Athens,Clarke County,34.03,-83.45,Georgia,13059,643
14925,30608,3,Athens,Clarke County,,,Georgia,13059,643
14927,30609,1,Athens,Clarke County,33.9,-83.37,Georgia,13059,643
14928,30612,3,Athens,Clarke County,,,Georgia,13059,643
14929,30619,1,Arnoldsville,Oglethorpe County,33.85,-83.25,Georgia,13221,24
14931,30620,3,Bethlehem,Barrow County,33.93,-83.75,Georgia,13013,298
14949,30621,2,Bishop,Oconee County,33.8,-83.48,Georgia,13219,41
14955,30622,1,Bogart,Oconee County,33.9,-83.5,Georgia,13219,41
14964,30624,1,Bowman,Elbert County,34.2,-83.1,Georgia,13105,112
14971,30625,1,Buckhead,Morgan County,33.53,-83.36,Georgia,13211,140
14977,30628,2,Colbert,Madison County,34.03,-83.22,Georgia,13195,83
14992,30629,1,Comer,Madison County,34.1,-83.1,Georgia,13195,83
14995,30630,2,Crawford,Oglethorpe County,33.9,-83.15,Georgia,13221,24
15000,30631,3,Crawfordville,Taliaferro County,33.6,-82.8,Georgia,13265,3
15001,30633,1,Danielsville,Madison County,34.2,-83.3,Georgia,13195,83
15021,30634,1,Dewy Rose,Elbert County,34.2,-82.9,Georgia,13105,112
15028,30635,2,Elberton,Elbert County,34.1,-82.8,Georgia,13105,112
15077,30641,2,Good Hope,Walton County,33.78,-83.57,Georgia,13297,703
15078,30642,3,Greensboro,Greene County,33.5,-83.2,Georgia,13133,79
15103,30643,3,Hartwell,Hart County,34.4,-82.9,Georgia,13147,109
15158,30646,3,Hull,Madison County,34.08,-83.31,Georgia,13195,83
15171,30648,2,Lexington,Oglethorpe County,33.9,-83.0,Georgia,13221,24
15176,30650,2,Madison,Morgan County,33.6,-83.4,Georgia,13211,140
15242,30655,1,Monroe,Walton County,33.8,-83.7,Georgia,13297,703
15424,30656,2,Monroe,Walton County,33.9,-83.7,Georgia,13297,703
15480,30660,2,Rayle,Wilkes County,33.8,-82.9,Georgia,13317,41
15482,30662,1,Royston,Franklin County,34.3,-83.1,Georgia,13119,79
15495,30663,2,Rutledge,Morgan County,33.6,-83.6,Georgia,13211,140
15497,30665,1,Siloam,Greene County,33.5,-83.2,Georgia,13133,79
15499,30666,1,Statham,Barrow County,33.96,-83.58,Georgia,13013,298
15510,30667,1,Stephens,Oglethorpe County,33.8,-83.2,Georgia,13221,24
15512,30668,3,Tignall,Wilkes County,33.9,-82.7,Georgia,13317,41
15514,30669,1,Union Point,Greene County,33.7,-83.1,Georgia,13133,79
15524,30673,3,Washington,Wilkes County,33.7,-82.7,Georgia,13317,41
15540,30677,3,Watkinsville,Oconee County,33.8,-83.4,Georgia,13219,41
15547,30678,1,White Plains,Greene County,33.5,-83.1,Georgia,13133,79
15549,30680,2,Winder,Barrow County,34.0,-83.7,Georgia,13013,298
15647,30683,3,Winterville,Clarke County,33.93,-83.26,Georgia,13059,643
15660,30701,2,Calhoun,Gordon County,34.5,-85.0,Georgia,13129,258
15749,30705,3,Chatsworth,Murray County,34.7,-84.8,Georgia,13213,93
15800,30707,1,Chickamauga,Walker County,34.8,-85.3,Georgia,13295,402
