,Zipcode,Score,City,County,Lat,Long,State,id,CountyScore
3396,30078,1,Snellville,Gwinnett County,33.86,-84.01,Georgia,13135,1970
3468,30079,1,Scottdale,DeKalb County,33.79,-84.26,Georgia,13089,3542
3481,30080,1,Smyrna,Cobb County,33.87,-84.5,Georgia,13067,1882
3538,30082,1,Smyrna,Cobb County,33.86,-84.53,Georgia,13067,1882
3553,30083,3,Stone Mountain,DeKalb County,33.79,-84.2,Georgia,13089,3542
3816,30084,2,Tucker,DeKalb County,33.86,-84.21,Georgia,13089,3542
3856,30085,2,Tucker,Dekalb County,,,Georgia,NA,21
3858,30086,2,Stone Mountain,Dekalb County,,,Georgia,NA,21
3861,30087,3,Stone Mountain,DeKalb County,33.82,-84.11,Georgia,13089,3542
3943,30088,1,Stone Mountain,DeKalb County,33.76,-84.17,Georgia,13089,3542
4067,30091,3,Norcross,Gwinnett County,,,Georgia,13135,1970
4068,30092,1,Norcross,Gwinnett County,33.97,-84.23,Georgia,13135,1970
4099,30093,1,Norcross,Gwinnett County,33.91,-84.18,Georgia,13135,1970
4192,30094,3,Conyers,Rockdale County,33.6,-84.1,Georgia,13247,372
4245,30095,2,Duluth,Gwinnett County,,,Georgia,13135,1970
4246,30096,2,Duluth,Gwinnett County,33.98,-84.15,Georgia,13135,1970
4348,30097,1,Duluth,Fulton County,34.02,-84.14,Georgia,13121,4146
4358,30101,2,Acworth,Cobb County,34.03,-84.7,Georgia,13067,1882
4416,30102,2,Acworth,Cherokee County,34.11,-84.63,Georgia,13057,587
4519,30103,1,Adairsville,Bartow County,34.4,-84.9,Georgia,13015,414
4550,30104,1,Aragon,Polk County,34.09,-85.06,Georgia,13233,283
4567,30105,1,Armuchee,Floyd County,34.5,-85.2,Georgia,13115,492
4573,30106,1,Austell,Cobb County,33.83,-84.64,Georgia,13067,1882
4645,30107,2,Ball Ground,Cherokee County,34.3,-84.3,Georgia,13057,587
4663,30108,2,Bowdon,Carroll County,33.5,-85.3,Georgia,13045,675
4675,30110,3,Bremen,Haralson County,33.7,-85.2,Georgia,13143,152
4724,30112,2,Carrollton,Carroll County,,,Georgia,13045,675
4727,30113,2,Buchanan,Haralson County,33.9,-85.2,Georgia,13143,152
4739,30114,1,Canton,Cherokee County,34.3,-84.5,Georgia,13057,587
4827,30115,1,Canton,Cherokee County,34.2,-84.4,Georgia,13057,587
4876,30116,2,Carrollton,Carroll County,33.6,-85.0,Georgia,13045,675
4932,30117,1,Carrollton,Carroll County,33.6,-85.1,Georgia,13045,675
5031,30118,2,Carrollton,Carroll County,33.572,-85.103,Georgia,13045,675
5035,30120,1,Cartersville,Bartow County,34.2,-84.8,Georgia,13015,414
5124,30121,1,Cartersville,Bartow County,34.2,-84.8,Georgia,13015,414
5198,30122,3,Lithia Springs,Douglas County,33.76,-84.65,Georgia,13097,674
5271,30123,2,Cassville,Bartow County,,,Georgia,13015,414
5273,30124,1,Cave Spring,Floyd County,34.14,-85.35,Georgia,13115,492
5283,30125,2,Cedartown,Polk County,34.0,-85.3,Georgia,13233,283
5363,30126,1,Mableton,Cobb County,33.82,-84.55,Georgia,13067,1882
5408,30127,1,Powder Springs,Cobb County,33.9,-84.7,Georgia,13067,1882
5514,30132,2,Dallas,Paulding County,34.0,-84.9,Georgia,13223,389
5587,30133,1,Douglasville,Douglas County,,,Georgia,13097,674
5588,30134,3,Douglasville,Douglas County,33.8,-84.8,Georgia,13097,674
5736,30135,2,Douglasville,Douglas County,33.7,-84.7,Georgia,13097,674
5879,30137,1,Emerson,Bartow County,34.12,-84.77,Georgia,13015,414
5882,30138,2,Esom Hill,Cleburne County,,,Georgia,NA,5
5884,30139,2,Fairmount,Gordon County,34.4,-84.7,Georgia,13129,253
